Stop Code,Shelter Quantity,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,ADA Score,Crosswalk Score
5274,0.0,1.0,1.0,1.0,0.0,,0.0
5276,0.0,,,1.0,,,0.0
5278,0.0,3.0,2.0,0.0,,,2.0
5280,,,,,,,
5281,0.0,2.0,1.0,,,,
5282,0.0,2.0,,2.0,0.0,,0.0
5285,,,,,,,
5286,0.0,2.0,1.0,1.0,1.0,,2.0
5291,0.0,3.0,,0.0,,,1.0
5292,1.0,2.0,1.0,2.0,2.0,3.0,
5296,1.0,3.0,2.0,1.0,,,
5298,0.0,1.0,1.0,0.0,,,1.0
5300,0.0,2.0,,0.0,2.0,3.0,
5306,0.0,1.0,2.0,,,,0.0
5310,1.0,3.0,,2.0,0.0,,0.0
5311,0.0,2.0,,0.0,0.0,,
5313,0.0,3.0,1.0,2.0,,,0.0
5314,0.0,1.0,,1.0,,,0.0
5315,0.0,2.0,,0.0,,,1.0
5316,2.0,3.0,,2.0,2.0,3.0,1.0
5317,0.0,,2.0,2.0,,,0.0
5319,0.0,2.0,,2.0,1.0,,
5320,0.0,1.0,2.0,2.0,,,
5322,0.0,,,,,,
5324,1.0,2.0,,0.0,1.0,,2.0
5325,,,,,,,
5326,0.0,2.0,,2.0,0.0,,2.0
5329,0.0,2.0,,1.0,,,1.0
5331,1.0,2.0,,1.0,2.0,3.0,
5332,1.0,2.0,,1.0,2.0,,2.0
5333,0.0,1.0,,,,,
5334,0.0,3.0,,2.0,1.0,,
5335,0.0,3.0,,2.0,0.0,,0.0
5337,1.0,2.0,,2.0,2.0,3.0,0.0
5339,0.0,1.0,,,,,
5340,1.0,1.0,1.0,0.0,0.0,,2.0
5341,0.0,2.0,,,,,1.0
5342,0.0,1.0,,1.0,0.0,,
5344,0.0,1.0,1.0,2.0,1.0,2.0,2.0
5345,1.0,3.0,2.0,1.0,2.0,3.0,1.0
5347,0.0,,,2.0,,,
5353,0.0,2.0,,2.0,,,
5354,0.0,3.0,,2.0,2.0,3.0,1.0
5355,,,,,,,
5357,0.0,2.0,1.0,0.0,,,2.0
5358,0.0,1.0,,1.0,,,
5360,0.0,2.0,,2.0,1.0,,2.0
5365,0.0,2.0,1.0,,,,
5368,0.0,,2.0,2.0,,,
5370,0.0,2.0,,,,,
5377,0.0,2.0,,2.0,,,
5379,0.0,2.0,2.0,1.0,,,1.0
5384,0.0,1.0,2.0,2.0,,,0.0
5387,,,,,,,
5389,0.0,2.0,2.0,2.0,,,2.0
5391,0.0,2.0,1.0,2.0,2.0,3.0,1.0
5394,2.0,2.0,,2.0,0.0,,2.0
5396,,,,,,,
5397,0.0,3.0,,0.0,,,1.0
5399,0.0,3.0,1.0,2.0,2.0,3.0,1.0
5400,0.0,1.0,,1.0,1.0,,
5401,1.0,2.0,,0.0,0.0,,
5403,1.0,3.0,,2.0,1.0,,2.0
5404,0.0,1.0,,0.0,,,0.0
5407,0.0,1.0,1.0,,,,2.0
5409,0.0,2.0,,,,,
5412,1.0,2.0,,1.0,2.0,3.0,
5415,,,,,,,
5416,0.0,,1.0,,,,
5419,0.0,2.0,,,,,
5423,0.0,2.0,,0.0,0.0,,1.0
5424,0.0,2.0,,,,,2.0
5429,0.0,2.0,,2.0,,,1.0
5430,0.0,1.0,,,,,
5431,,,,,,,
5432,,,,,,,
5433,1.0,3.0,,2.0,0.0,3.0,1.0
5434,0.0,2.0,,1.0,,,
5435,1.0,3.0,,2.0,2.0,3.0,0.0
5436,1.0,,,2.0,1.0,2.0,2.0
5438,0.0,,,2.0,,,1.0
5439,0.0,1.0,,2.0,,,2.0
5444,0.0,3.0,,1.0,,,2.0
5445,1.0,2.0,1.0,1.0,0.0,,1.0
5446,0.0,3.0,,1.0,,,1.0
5447,0.0,1.0,,0.0,0.0,,2.0
5450,0.0,,1.0,,,,
5451,0.0,2.0,,,,,0.0
5453,0.0,1.0,,1.0,,,0.0
5456,,,,,,,
5460,0.0,3.0,,1.0,0.0,,1.0
5463,0.0,2.0,1.0,,,,
5464,0.0,1.0,2.0,0.0,,,
5465,1.0,3.0,,0.0,,,2.0
5466,,,,,,,
5468,0.0,2.0,,1.0,2.0,3.0,1.0
5472,0.0,2.0,1.0,,,,
5473,0.0,2.0,1.0,0.0,,,
5475,0.0,1.0,1.0,,,,
5477,0.0,1.0,2.0,,,,
5478,,,,,,,
5479,0.0,1.0,2.0,0.0,,,0.0
5480,0.0,3.0,2.0,2.0,0.0,,2.0
5481,,,,,,,
5482,0.0,1.0,1.0,0.0,,,2.0
5484,1.0,3.0,2.0,2.0,2.0,3.0,2.0
5489,0.0,2.0,1.0,,,,
5490,0.0,1.0,1.0,1.0,,,2.0
5492,0.0,2.0,1.0,,,,
5495,,,,,,,
5496,0.0,2.0,,,,,
5497,0.0,3.0,,2.0,2.0,3.0,2.0
5498,0.0,1.0,,2.0,2.0,3.0,1.0
5499,1.0,2.0,1.0,3.0,1.0,,2.0
5501,0.0,1.0,2.0,0.0,,,2.0
5503,0.0,2.0,,2.0,,,
5505,0.0,1.0,1.0,2.0,0.0,,1.0
5506,0.0,1.0,,2.0,,,1.0
5507,0.0,2.0,1.0,2.0,,,1.0
5508,0.0,1.0,1.0,,,,2.0
5509,0.0,3.0,1.0,1.0,,,0.0
5511,0.0,2.0,,2.0,,,1.0
5512,,,,,,,
5513,1.0,3.0,1.0,1.0,1.0,,1.0
5516,0.0,3.0,,,,,0.0
