Stop Code,Shelter Quantity,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,ADA Score,Crosswalk Score
6316,0.0,3.0,,2.0,0.0,3.0,1.0
6317,,,,,,,
6318,,,,,,,
6319,0.0,1.0,,2.0,,,0.0
6320,0.0,,,2.0,1.0,,0.0
6322,1.0,1.0,1.0,1.0,1.0,,1.0
6330,0.0,2.0,1.0,2.0,0.0,,1.0
6331,0.0,3.0,,2.0,,,2.0
6333,1.0,1.0,2.0,2.0,2.0,3.0,
6334,0.0,1.0,1.0,2.0,,,2.0
6335,1.0,3.0,,1.0,,,1.0
6336,0.0,3.0,,2.0,0.0,,1.0
6337,,,,,,,
6338,0.0,2.0,,2.0,,,
6339,,,,,,,
6340,0.0,3.0,,1.0,,,1.0
6341,,,,,,,
6344,0.0,1.0,1.0,2.0,2.0,3.0,
6345,1.0,2.0,2.0,2.0,,,
6347,0.0,2.0,,1.0,2.0,3.0,1.0
6348,1.0,2.0,,,1.0,2.0,
6349,0.0,2.0,,,,,
6350,0.0,2.0,1.0,,,,
6351,0.0,2.0,,,,,
6366,0.0,1.0,,2.0,0.0,3.0,2.0
6375,0.0,2.0,1.0,2.0,1.0,,1.0
6379,0.0,3.0,,1.0,,,2.0
6380,1.0,1.0,,1.0,1.0,2.0,1.0
6383,1.0,3.0,,2.0,0.0,,1.0
6387,0.0,1.0,1.0,1.0,0.0,3.0,1.0
6389,0.0,2.0,1.0,1.0,,,1.0
6390,1.0,3.0,,0.0,2.0,3.0,0.0
6393,1.0,3.0,1.0,1.0,2.0,3.0,1.0
6395,0.0,3.0,,,1.0,,3.0
6396,0.0,2.0,,2.0,0.0,,
6398,0.0,3.0,1.0,,,,
6399,0.0,2.0,,,1.0,,
6424,1.0,3.0,1.0,2.0,2.0,3.0,2.0
6426,0.0,,1.0,1.0,,,0.0
6430,0.0,3.0,2.0,0.0,,,2.0
6433,1.0,2.0,,,1.0,2.0,3.0
6435,0.0,1.0,1.0,1.0,,,1.0
6439,0.0,2.0,,1.0,0.0,,1.0
6442,1.0,2.0,1.0,2.0,1.0,,0.0
6444,0.0,1.0,,0.0,,,2.0
6446,0.0,1.0,,,,,
6448,0.0,1.0,2.0,,,,
6463,,,,,,,
6464,,,,,,,
6466,0.0,,,,,,
6472,,,,,,,
6473,,,,,,,
6474,0.0,2.0,1.0,1.0,2.0,3.0,0.0
6476,0.0,3.0,,2.0,1.0,,2.0
6479,1.0,1.0,,1.0,1.0,,
6484,0.0,1.0,,1.0,,,0.0
6485,0.0,3.0,,,,,
6486,0.0,2.0,,,,,
6487,0.0,2.0,,,,,
6488,0.0,1.0,,,,,
6489,0.0,2.0,1.0,0.0,1.0,,1.0
6490,0.0,3.0,,0.0,,,1.0
6491,0.0,3.0,,1.0,,,0.0
6492,0.0,1.0,1.0,2.0,,,
6494,1.0,2.0,,2.0,2.0,3.0,3.0
6495,1.0,1.0,,2.0,2.0,3.0,
6498,0.0,2.0,,,,,
6499,0.0,3.0,,2.0,0.0,,2.0
6501,0.0,,,2.0,,,1.0
6503,1.0,3.0,,2.0,0.0,3.0,2.0
6505,1.0,3.0,1.0,2.0,,,2.0
6506,0.0,,,,,,
6507,0.0,2.0,,2.0,,,
6510,,,,,,,
6520,0.0,2.0,,2.0,,,1.0
6521,0.0,2.0,1.0,2.0,2.0,3.0,2.0
6523,0.0,2.0,,0.0,,,2.0
6527,0.0,1.0,1.0,1.0,,,
6530,0.0,2.0,2.0,,,,1.0
6531,0.0,2.0,,0.0,,,1.0
6532,0.0,1.0,,2.0,,,
6536,0.0,1.0,,2.0,,,2.0
6538,0.0,1.0,,,,,2.0
6545,0.0,2.0,2.0,2.0,,,2.0
6546,0.0,,,,,,
6548,0.0,1.0,,,,,
6549,0.0,2.0,,1.0,,,2.0
6550,0.0,1.0,1.0,1.0,,,2.0
6551,1.0,1.0,,2.0,2.0,3.0,0.0
6552,0.0,1.0,2.0,0.0,,,1.0
6558,0.0,,1.0,,,,
6565,0.0,2.0,,0.0,,,
6573,0.0,1.0,,,,,
6575,0.0,2.0,2.0,0.0,,,
6576,0.0,1.0,2.0,1.0,,,2.0
6577,0.0,2.0,,0.0,,,1.0
6578,1.0,3.0,,2.0,2.0,3.0,1.0
6579,,,,,,,
6590,1.0,2.0,,1.0,1.0,,1.0
6591,1.0,3.0,1.0,2.0,2.0,3.0,2.0
6592,0.0,1.0,,2.0,,,2.0
6593,0.0,3.0,1.0,0.0,,,0.0
6597,,,,,,,
6598,0.0,2.0,,1.0,0.0,3.0,1.0
6599,0.0,3.0,,0.0,0.0,,1.0
6600,0.0,3.0,,2.0,,,0.0
6601,0.0,1.0,,,,,
6602,0.0,1.0,2.0,,,,
6603,0.0,1.0,1.0,,,,
6604,0.0,2.0,2.0,,,,
6605,0.0,1.0,1.0,,,,1.0
6606,0.0,3.0,,2.0,,,0.0
6607,0.0,1.0,,,,,
6608,0.0,2.0,1.0,2.0,,,1.0
6609,0.0,2.0,,,,,1.0
6610,0.0,1.0,2.0,,,,
6611,0.0,1.0,2.0,1.0,,,2.0
6615,0.0,2.0,,,,,
6618,1.0,1.0,1.0,2.0,0.0,3.0,2.0
6619,0.0,1.0,,,,,0.0
6620,0.0,1.0,,1.0,,,1.0
6621,1.0,1.0,,2.0,1.0,2.0,
6622,1.0,1.0,2.0,0.0,2.0,3.0,1.0
6627,0.0,3.0,,1.0,,,1.0
6628,,,,,,,
6629,,,,,,,
6630,,,,,,,
6631,0.0,1.0,1.0,2.0,,,0.0
6632,1.0,3.0,1.0,2.0,,,0.0
6633,1.0,2.0,,2.0,2.0,2.0,
6635,0.0,2.0,1.0,,,,
6637,0.0,,,0.0,2.0,3.0,2.0
6638,0.0,,,2.0,2.0,3.0,2.0
6639,0.0,2.0,2.0,1.0,,,
6640,1.0,3.0,2.0,2.0,2.0,3.0,2.0
6643,0.0,1.0,,1.0,2.0,3.0,
6644,0.0,1.0,,2.0,1.0,2.0,
6647,1.0,2.0,,2.0,0.0,,2.0
6649,1.0,,2.0,2.0,,,
6650,1.0,3.0,1.0,1.0,2.0,3.0,2.0
6657,0.0,2.0,,2.0,1.0,,0.0
6658,1.0,3.0,,2.0,2.0,3.0,1.0
6659,0.0,2.0,2.0,,,,
6660,0.0,2.0,,,,,
6662,,,,,,,
6664,,,,,,,
6665,0.0,,1.0,,,,
6676,0.0,3.0,,2.0,,,
6677,0.0,1.0,,0.0,0.0,,
6678,0.0,2.0,,,,,
6680,0.0,3.0,1.0,0.0,0.0,3.0,1.0
6681,0.0,3.0,2.0,2.0,0.0,,2.0
6684,0.0,2.0,1.0,2.0,,,0.0
6688,,,,,,,
6689,,,,,,,
6691,0.0,1.0,,,,,
6693,0.0,1.0,1.0,0.0,,,2.0
6695,1.0,1.0,,2.0,2.0,3.0,
6707,,,,,,,
6708,,,,,,,
6709,,,,,,,
6710,,,,,,,
6711,,,,,,,
6712,,,,,,,
6713,,,,,,,
6714,,,,,,,
6715,,,,,,,
6717,,,,,,,
6718,,,,,,,
6721,,,,,,,
6722,,,,,,,
6724,,,,,,,
6726,,,,,,,
6727,,,,,,,
6728,,,,,,,
6729,,,,,,,
6730,,,,,,,
6734,,,,,,,
6735,,,,,,,
6736,,,,,,,
6737,,,,,,,
6744,,,,,,,
6745,,,,,,,
6746,,,,,,,
6747,,,,,,,
6750,,,,,,,
6751,,,,,,,
6752,,,,,,,
6754,,,,,,,
6755,,,,,,,
995952,,,,,,,
996336,,,,,,,
996511,,,,,,,
