Stop Code,Stop Name,Latitude,Longitude,Status,Shelter Quantity,Area_Light,Trash Can,Site_Shade,Real Time Sign,Sidewalk Condition,ADA condition,Landing Pad,Crosswalk,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,Crosswalk Score,ADA Score
5419,Holloway St at Chandler Rd,35.985884,-78.840216,Active,0.0,Fair,,,No,,,,,2.0,,,,,
5423,Enterprise St at Roxboro St (EB),35.9835527,-78.9031408,Active,0.0,Fair,,,No,Poor,No_SidewalkAbuts,Other,Fair,2.0,,0.0,0.0,1.0,
5424,S Roxboro St at Bond St,35.980161,-78.905344,Active,0.0,Fair,,,No,,,,Good,2.0,,,,2.0,
5429,Hillsborough Rd at US 15-501 (EB),36.021548,-78.951737,Active,0.0,Fair,,,No,Good,No_SidewalkWithStrip,,Fair,2.0,,2.0,,1.0,
5430,Riddle Rd at Kirby St (SB),35.955723,-78.893212,Active,0.0,Poor,,,No,,,,,1.0,,,,,
5431,Riddle Rd at NC 55 (WB),35.9561702,-78.8898354,Active,,,,,,,,,,,,,,,
5432,Riddle Rd at NC 55 (EB),35.9560965,-78.8893901,Active,,,,,,,,,,,,,,,
5433,Main St at Morgan St (WB),36.0015485,-78.9115431,Active,1.0,Good,Metal,,No,Good,Yes_Sidewalk,Other,Fair,3.0,,2.0,0.0,1.0,3.0
5434,Milton Rd at Long Cresent Dr,36.091973,-78.91416,Active,0.0,Fair,,,No,Fair,No_SidewalkWithStrip,,,2.0,,1.0,,,
5435,NC 55 at Alston Ave (NCCU),35.9706648,-78.8947985,Active,1.0,Good,Metal,,No,Good,Yes_Two_Doors,Yes_Two_Doors,Poor,3.0,,2.0,2.0,0.0,3.0
5436,Meriwether Dr at Pickwick Trail (SB),36.041878,-78.889984,Active,1.0,,Concrete,,No,Good,Yes_Single_Door,Yes_Single_Door,Good,,,2.0,1.0,2.0,2.0
5438,Duke St at Corporation St,36.002322,-78.90632,Active,0.0,,,,No,Good,,,Fair,,,2.0,,1.0,
5439,Gregson St at Lamond Ave,36.00233,-78.90835,Active,0.0,Poor,,,No,Good,No_SidewalkWithStrip,,Good,1.0,,2.0,,2.0,
5444,Dowd St at Roxboro Rd (EB),36.000292,-78.893429,Active,0.0,Good,Concrete,,No,Fair,No_SidewalkWithStrip,,Good,3.0,,1.0,,2.0,
5445,Raynor St at The Village (WB),35.994284,-78.869756,Active,1.0,Fair,Concrete,Trees_Fair,Yes,Fair,No_SidewalkAbuts,Other,Fair,2.0,1.0,1.0,0.0,1.0,
5446,Guess Rd at Ellen St,36.03985,-78.92963,Active,0.0,Good,,,No,Fair,No_SidewalkWithStrip,,Fair,3.0,,1.0,,1.0,
5447,Chapel Hill Rd at Palmer St (WB),35.988573,-78.925313,Active,0.0,Poor,,,No,Poor,No_SidewalkAbuts,Other,Good,1.0,,0.0,0.0,2.0,
5450,Meriwether Dr at Oxford Ct,36.038614,-78.890029,Active,0.0,,,Trees_Fair,No,,,,,,1.0,,,,
5451,Olympic Ave at Roxboro Rd,36.036787,-78.896935,Active,0.0,Fair,,,No,,,,Poor,2.0,,,,0.0,
5453,Cornwallis Rd at Fayetteville Rd,35.9602773,-78.9114336,Active,0.0,Poor,,,No,Fair,No_SidewalkWithStrip,,Poor,1.0,,1.0,,0.0,
5456,Shannon Rd at Martin Luther King Jr Pkwy (South Square Townhomes),35.962639,-78.956324,Active,,,,,,,,,,,,,,,
